,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00000563,2E Клавиатура и мышка,шт,Чирчик Руслан
,00-00000564,Коллер Dup Cool,шт,Тат Нефт
,00-00000565,Dup w8/2666 lex,шт,Mini Mall МЧЖ
,00-00000566,Пороховая гвоздь м27х7,шт,Металь Кардор
,00-00000567,Кабель для принтерь,шт,Хитой
,00-00000568,"Стойка телескапичиский ( 4,2 м )",шт,Хокимият Возврат
,00-00000569,Праймер,литр,Канстовар Zontik
,00-00000570,Штанги церкул оддий,шт,ЯТТ Каримов М.М
,00-00000571,Бетон гвозд 50мм,кг,Мухаммад Алихон 99 8543109
,00-00000572,Вентилятор темрли катта (домашний),шт,ООО Quduq
,00-00000574,Степлер большое офисной,шт,Комил 93 0030000
,00-00000575,Порох гвозд 6х32,шт,Мегаван центр
,00-00000576,Лед 15w в/н круглый,шт,ЯТТ Abdurazakov
,00-00000577,Лед 9 w в/н круглый,шт,Хитой Карго
,00-00000578,Филтерь HYUNDAI 11Q870010 ( спец тех ),шт,Янги Тошкент Expected Homes
,00-00000579,Сеператор ватер 11Q7-710010 ( спец тех ),шт,Хонобод Зоидхон 99 4070029
,00-00000580,Отрезной диск 125мм,шт,Янги обод 99 8712232
,00-00000581,Правила 3 м,шт,Сергили 95 8006367
,00-00000582,Правила 2 м,шт,Мазаин INEGO
,00-00000584,Гофра хитой ф32х25м,шт,Хонобод 97 4612222
,00-00000585,"Маяк 0,5 мм",шт,Toshkent profnastil servis
,00-00000586,Фиксатор Звеоздичка 5мм (настенный),шт,Металл Кардор
,00-00000587,Фиксатор Стулчик 5мм,шт,Куйлик дукон 90 9450032
,00-00000588,Изол 520/2 суви,литр,Янги обод 97 6157232
,00-00000589,"Кабель ВВГНГ 3х1,5мм2",метр,Fair-Trade Houses МЧЖ
,00-00000590,Родбан суюк сувок ( АСЛАН ) (1мешок 30кг),тн,Strop master 99 9649555
,00-00000591,Жидкый фум  250мл,шт,OOO Intermax Petroleum
,00-00000592,Солдатик 15д,шт,Future paints plant
,00-00000593,Адаптер 20д в/р,шт,KOS
,00-00000594,Пеноплекс 3мм,шт,Хитой склад Жовод
,00-00000595,Гидробарер,шт,Сергили бозор
,00-00000597,Скоба,шт,Хонобод дукон Зоидхон 99 4070029
,00-00000598,Кафель 60х60 модель 9917,м3,Tod group
,00-00000599,"Шина 17,5-25-28 PRTTF ( спец тех )",шт,Бектемир НасибАли
,00-00000600,Щтуцер болть ( спец тех ),шт,Шукрулло 90 8080303
,00-00000601,Щтуцер ( спец тех ),шт,Лакокраска котта склад перемишения
,00-00000602,Щтуцер шайба ( спец тех ),шт,Улмас хожи акадан
,00-00000603,Хамут металичискый 16д ( спец тех ),шт,Дан-Хамкор
,00-00000604,Филтерь топлиный СР 21008 ( спец тех ),шт,Fan Образец
,00-00000605,Филтерный крепленый ( спец тех ),шт,Самандар 90 4233420
,00-00000606,Шланг 12д ( спец тех ),шт,Азия авто
,00-00000607,Подшивник 46х219 ( спец тех ),шт,ООО Zomin Expo Great
,00-00000608,Подшивник 22х219 ( спец тех ),шт,Лофт Мебель 97 4249934
,00-00000609,Салник 110х140 ( спец тех ),шт,World Shakers
,00-00000610,Литол 24 ( спец тех ) 5кг,шт,З. Раупов
,00-00000611,Шпилка болть ФМ 38Х1м ( спец тех ),шт,Symmetry group
,00-00000612,Гайка М-63 ( спец тех ),шт,ООО Polisandr
,00-00000613,Шайба М-38 ( спец тех ),шт,Метал Ситий
,00-00000614,Ключ гайчный М-63 ( спец тех ),шт,Woodline Ailance МЧЖ
,00-00000615,Рекор американка В/Р 32х1 (32х25),шт,Азиз 99 1885555
,00-00000616,Газоблок 625х250х100,м3,Хонобод изатила
,00-00000617,Гвоздь 120мм,кг,Зиёдулло
,00-00000618,Терминатор тройник одаптер (электричискый ),шт,Сергили 98 1000696
,00-00000619,Резак кора для кислородного баллона,шт,ОСП Кахрамон Ибн Сино
,00-00000620,Кислород редуктр,шт,Ибн Сино
,00-00000621,Пропан редуктр,шт,Spare parts trading and serviceМагазин 90 9883710
,00-00000622,Хомут,шт,95 0045555
,00-00000623,Акфа эшиклар учун замок комплект,камп,Куйлик дукон 93 5989368
,00-00000624,Кабель 4х16мм2 АВВГ,метр,ЯТТ Каримов
,00-00000625,Муфта металичиский,шт,Strop master 999649555
,00-00000626,Штуцер переход,шт,Ceramalux МчЖ
,00-00000627,Американка из ппр 40мм,шт,Сергили 99 8307177
,00-00000628,Бронзавый орт,шт,Аэропорт Карго Импорт
,00-00000629,Кондицонер ZIFLLER  12,шт,Янги обод 88 4110888
,00-00000630,"Холодильник Beston 1,5v",шт,Янги обод 90 9350203
,00-00000631,Переходник из ппр 40х25мм,шт,Куйлик сомон бозор
,00-00000632,Курпа тушак,камп,ООО Pebble Universal service
,00-00000633,Отбойник перфоратор Epa EOM-65-3,шт,Бочка уз
,00-00000634,Отвод из ппр 32мм,шт,INGCO 97 7070103
,00-00000636,Лист 6,шт,Chain Metall
,00-00000637,Лист8,шт,Tom baraka
,00-00000638,Швеллер 16,м,Kos premium water
,00-00000639,Швеллер 10,м,ООО Adamari Profi
,00-00000640,Уголок 100х8,м,Акбаров Н.Ш
,00-00000641,Уголок 50х5,м,ИП ООО Izomarket Group
,00-00000642,Скоба строительный,шт,Прогрес метал
,00-00000643,Профиль 100х40,м,Кеяз Вела
,00-00000644,Анкерный болт м 16х20х110  ANKER BOLT 1 [100],шт,ООО Bright way business
,00-00000645,Валик 300д,шт,ООО Simma Auto star
,00-00000646,Кнауф грунтовка 10кг,шт,Export for growth МЧЖ
,00-00000647,Карандаш стройительный,шт,Авто дукон 99 8903232
,00-00000648,Цемент 450,кг,Волга заправка
,00-00000650,Болга (Молоток) 2кг,шт,Sardor Stal Brent
,00-00000651,"Труба 1,2мм 377мм 10м",шт,Akkenberg cement
,00-00000652,"Гнутый профил 200х1,4 образец",шт,Каснстовар Zontik
,00-00000653,"Гнутый профил 100х1,4",шт,Кум арик 97 4614747
,00-00000654,Поршин ( спец тех ),шт,Сергили Илхом 90 3171636
,00-00000655,Поршин салник ( спец тех ),шт,Малика магазин Б39
,00-00000656,Клей быстрого akfix 705,шт,Метан
,00-00000657,Гидроконус дробилька,комп,Алгоритм Тошкент металл база
,00-00000658,Шэковая дробилька,комп,Сергили Тулкин 90 9077200
,00-00000659,Статционар Помпа насосга конус труба,шт,Хонобод Изатила 97 4612222
,00-00000660,Ангиометр Uni-T 363,шт,Кроват цез Шерзод
,00-00000661,Бейжик (Конставар),шт,Мохинур Сехри МЧЖ
,00-00000662,"Лента 50х0,7 (спец тех)",метр,Hamkor Grand rool
,00-00000663,Тройник из ппр 32х25,шт,ООО Great Loong
,00-00000664,Заглушка из ппр 32мм,шт,Pure Oxygen
,00-00000666,Кабель ВВГНГ 5х5мм2,м,Куйлик Аброр 93 5989368
,00-00000668,Кран из ппр 32мм,шт,Куйлик Мухамаджон 99 0556009
,00-00000669,Расширительный бак 24л Ritto,шт,Тия бозор Фарход 98 3104146
,00-00000670,"Насос APM150 1,5 квт Leo + автоматика",комп,Хожи акбар 97 7155516
,00-00000671,Самоклейка изоляция Rokaflex 9х1000мм (с фольгой) AFSA,м,Ali Jiong
,00-00000672,Самоклейка изоляция Rokaflex 9х1000мм SA (1упаковка 20м2),м,Comfort Metall
,00-00000673,Выключатель внутренный одинарный,шт,Amon Bobo
,00-00000674,Река 40х30мм 4м,м,ЯТТ Холмуродов
,00-00000675,Гипсокартон Tenvl,шт,Дукон 10-4-10
,00-00000676,Фуга 5,шт,Imeter МЧЖ
,00-00000677,Фуга 4,шт,Абдукодир 98 7072552
,00-00000678,Петля дверей. Ошик-мошик,шт,Хамкор гранд
,00-00000679,Зашёлка,шт,ТИА Бозор
,00-00000680,Ручка эшик,шт,Max Vent Servis
,00-00000681,Пиломатериаль 50х100х6 метр,шт,Хожиакбар 97 7479337
,00-00000682,Сушилька,шт,IBR заправка
,00-00000683,Кран комплект,шт,Урикзор Бозор
,00-00000684,Когоз Прокладка Клингрит 100мм918см х135см,шт,OOO Orient plastic
,00-00000685,Скорост тросс 233wg69719240007 (спец тех),шт,Pure milky oqdaryo
,00-00000686,"Мдф 2,80х2,07",шт,DSM Авто
,00-00000687,Бур для бетон 18х350,шт,Куйлик Бунёд 99 0556009
,00-00000688,Метр деревянный 1м,шт,UzMeter
,00-00000689,"Саморез по металу том сарик 2,5см",кг,Малика Радиоком
,00-00000690,Серпянка 90мм,шт,Хитой Импорт
,00-00000691,Наждачная бумага 30м,шт,Wayteko 98 0106765
,00-00000692,Ведро 12л,шт,Mega parts 99 5102880
,00-00000693,"Зажим хомут 3,6х200",пачка,Бек тупи
,00-00000694,Пневмомонтажный пистолет для пороховых гвоздей М6,шт,Premier santexnika 777
,00-00000695,Прокладка Клингрит 100мм,шт,Trade service mega МЧЖ
,00-00000696,Масло Zic 46  85-140,литр,Янгиобод Усмон
,00-00000697,Тройник из ппр 25х20мм,шт,ООО Aigo Trust investment
,00-00000698,Делфин латта ( тряпка ),шт,Урикзор 97 7720048
,00-00000699,Масса кабель,м,Куйлик Бунёд
,00-00000700,Самовар для кухня 160л,шт,Хонобод Илхом
,00-00000701,"Правила 2,5м",шт,Магазин Ingco
,00-00000702,Пена плекс 3см,шт,Дадахон
,00-00000703,Масленный фильтр Oil Filter 0370 (спец тех),шт,Гумбаз озор
,00-00000704,Топливной фильтр Fuel Filter 0112 (спец тех),шт,Хонобод Иззат
,00-00000705,Водяной топливной фильтр Water Fuel Filter (PL420) (спец тех),шт,Темир Цех
,00-00000706,Топливной фильтр Fuel Filter 0113 (спец тех),шт,Betek
,00-00000707,Тормозная жидкость Dot-4 (спец тех),шт,Малика В39
,00-00000708,Кухонная ножь,шт,Ташкент металл
,00-00000709,Ушка для дверей,шт,Самарканд
,00-00000710,Перфоратор EPA 28-4,шт,Zubayr-Zayd
,00-00000711,Набор ключ чемодан больщой,шт,Payitaxt
,00-00000712,Распылитель лекарство Basito 20л,шт,ДСМ дима
,00-00000713,Лазерный уровен EPA EUL-01,шт,Concord 33 0756860
,00-00000714,Бур для бетон 25х350,шт,Хожи акбар 98 1015516
,00-00000715,Бур для бетон 10х350,шт,ЧП ONET INVEST
,00-00000716,Фигурная насадка 8мм,шт,Абдурахмон 97 0007510
,00-00000717,Ключ накидной,шт,Малика Магазин
,00-00000718,Лед подсветка (Шланг),метр,SL Expres-s
,00-00000719,Уголок (малярный) 05,шт,OOO Petrawool
,00-00000720,Пенопласт 2000х120х100мм (Пукак),шт,Kittek
,00-00000721,Хомут лехкий  Металлический хомут 100мм,шт,Сергили Рахматилла
,00-00000722,Порох гвозд 6х25мм,шт,Lider Plast sanex
,00-00000723,Насадка для смазочного аппарата (спец тех),шт,Тош самарканд
,00-00000724,Бабочка для смазочного аппарат (спец тех),шт,Сурм склад
,00-00000725,Сердечник для дверей,шт,Best tires
,00-00000726,Гидравлический шланг экскаватора (спец тех),шт,Progress Metal
,00-00000727,Дымоход (из оцинковоного листа),шт,Бозор Омонулла
,00-00000728,Труба 400мм (из оцинковоного листа,шт,Малика
,00-00000729,Шапка (из оцинковоного листа,шт,Comfort Metall. Bao xin
,00-00000730,Перфоратор EPA 40-3,шт,Метал омбор
